positive,negative,rating,comments
"Lokacija fantastična. 
Ima sauna. (Ima I teretana ali trenurno zatvorena ) 
Čisto i uredno. 
Vrlo ugodan boravak. 
Osoblje veoma srdačno. 
Naručila sam iz restorana salate za room service i bile su vrlo ukusne !!","Jastuci su pre mekani. Pitala sam na recepciji ali rekli su da samo te imaju. 
Sobe za jednu osobu su veoma male.
Doručak je bio dobar ali kada sam pitala za svježe napravljena jaja rekli su da moram doplatiti.",8,"Lokacija fantastična. 
Ima sauna. (Ima I teretana ali trenurno zatvorena ) 
Čisto i uredno. 
Vrlo ugodan boravak. 
Osoblje veoma srdačno. 
Naručila sam iz restorana salate za room service i bile su vrlo ukusne !! Jastuci su pre mekani. Pitala sam na recepciji ali rekli su da samo te imaju. 
Sobe za jednu osobu su veoma male.
Doručak je bio dobar ali kada sam pitala za svježe napravljena jaja rekli su da moram doplatiti."
"Lokacija hotela je izvanredna. Sve je dostupno na pješačkoj udaljenosti. Osoblje hotela je vrlo ljubazno i uslužno. Sobe su čiste, uredne, imaju sve što vam je potrebno. Jedina mana hotela je malo slabiji doručak (ali je ok, s obzirom na covid mjere). Parking je također problematičan, ukoliko na vrijeme niste rezervisali neko od dostupnih hotelskih mjesta (nemaju ih dovoljno pa se morate parkirati na nekom od javnih parkinga u blizini).","Manjak parking mjesta hotela je problematičan, što je, čini se, slučaj kod većine gradskih hotela. Trebali bi navesti da je broj parkirnih mjesta ograničen i da ih čuvaju po redoslijedu prijava i rezervacija.",9,"Lokacija hotela je izvanredna. Sve je dostupno na pješačkoj udaljenosti. Osoblje hotela je vrlo ljubazno i uslužno. Sobe su čiste, uredne, imaju sve što vam je potrebno. Jedina mana hotela je malo slabiji doručak (ali je ok, s obzirom na covid mjere). Parking je također problematičan, ukoliko na vrijeme niste rezervisali neko od dostupnih hotelskih mjesta (nemaju ih dovoljno pa se morate parkirati na nekom od javnih parkinga u blizini). Manjak parking mjesta hotela je problematičan, što je, čini se, slučaj kod većine gradskih hotela. Trebali bi navesti da je broj parkirnih mjesta ograničen i da ih čuvaju po redoslijedu prijava i rezervacija."
Sve,Sve je OK.,10,Sve Sve je OK.
"Mlad i ljubazan personal, čisto i uredno, korektan doručak, operativan parking, blizina atraktivnih lokacija, šetalište pored Save na 10 minuta hoda, pješačka zona Kosančićev-Obilićev sa raznovrsnom ponudom restorana i kafića na 5 minuta hoda...toplo preporučujem.",Nemam zamjerki,9,"Mlad i ljubazan personal, čisto i uredno, korektan doručak, operativan parking, blizina atraktivnih lokacija, šetalište pored Save na 10 minuta hoda, pješačka zona Kosančićev-Obilićev sa raznovrsnom ponudom restorana i kafića na 5 minuta hoda...toplo preporučujem. Nemam zamjerki"
Doručak je bio solidan. Izbor jela i kolača bi mogao biti veći.,,8,Doručak je bio solidan. Izbor jela i kolača bi mogao biti veći. 
"Odlična lokacija, osoblje preljubazno!!!
Vidimo se opet...",,10,"Odlična lokacija, osoblje preljubazno!!!
Vidimo se opet... "
"Lokacija je ok , nije centar ali je ok.
Doručak prosječan.","Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade",2,"Lokacija je ok , nije centar ali je ok.
Doručak prosječan. Najmanja soba  u kojoj sam spavao , a već 20 godina radim u istoj kompaniji i uvijek spavam po hotelima.
Za otići na spavanje trebate puzati.
Utičnice za napuniti mobitel ne rade"
Ispunili ste naša očekivanja.Sve je bilo kao na slikama...Hrana izvrsna.,"Jedina zamerka je što nije bilo tečnog sapuna,imali smo  šampon  4 bočice...Ali ok,...sve u svemu utisak je odličan.",10,"Ispunili ste naša očekivanja.Sve je bilo kao na slikama...Hrana izvrsna. Jedina zamerka je što nije bilo tečnog sapuna,imali smo  šampon  4 bočice...Ali ok,...sve u svemu utisak je odličan."
Konobar je  računa kurs ispod svi pravila za 860  dinara rekao je 9 €  a  1 € = 117 din,,7,Konobar je  računa kurs ispod svi pravila za 860  dinara rekao je 9 €  a  1 € = 117 din 
Osoblje,Kuhinja radi do 15 časova. Nakon toga se hrana naručuje iz drugog restorana.,9,Osoblje Kuhinja radi do 15 časova. Nakon toga se hrana naručuje iz drugog restorana.
"Hotel je relativno blizu centra, a opet mimo gradske gužve. Porodična soba prostrana i udobna, sa dodatnim kaučem koji je već bio pripremjen. Uredno, čisto i toplo. Hotel ima svoj parking, tako da nema problema sa ostavljanjem auta. Doručak i napitak uključen u cenu noćenja sasvim korektan i ukusan, ostale stavke iz menija restorana u hotelu nismo probali.","Generalno nema zamerki. TV preko Android boxa nismo umeli iz prve aktivirati, bio je ""otkačen"" sa WiFi mreže, ali smo rešili u opcijama uređaja :) Tuš kabina u kupatilu porodične sobe je negde puštala vodu, daleko od poplave, ali se može primetiti na podu.",8,"Hotel je relativno blizu centra, a opet mimo gradske gužve. Porodična soba prostrana i udobna, sa dodatnim kaučem koji je već bio pripremjen. Uredno, čisto i toplo. Hotel ima svoj parking, tako da nema problema sa ostavljanjem auta. Doručak i napitak uključen u cenu noćenja sasvim korektan i ukusan, ostale stavke iz menija restorana u hotelu nismo probali. Generalno nema zamerki. TV preko Android boxa nismo umeli iz prve aktivirati, bio je ""otkačen"" sa WiFi mreže, ali smo rešili u opcijama uređaja :) Tuš kabina u kupatilu porodične sobe je negde puštala vodu, daleko od poplave, ali se može primetiti na podu."
"Odličan doručak, dobra lokacija, prijatno osoblje.",U kupatilu curi voda iz tuš kabine,8,"Odličan doručak, dobra lokacija, prijatno osoblje. U kupatilu curi voda iz tuš kabine"
"Све је чисто и уредно, особље младо али врло културно и на висини задатка","Јако мали избор посне хране, од 2-3 посна оброка нису имали све",7,"Све је чисто и уредно, особље младо али врло културно и на висини задатка Јако мали избор посне хране, од 2-3 посна оброка нису имали све"
Vrhunski doručak. izuzetno čisto i udobno. Svaka preporuka!,,9,Vrhunski doručak. izuzetno čisto i udobno. Svaka preporuka! 
sve korktno,uvek moze bolje,10,sve korktno uvek moze bolje
"Osoblje ljubazno i usluzno, smestaj cist, dorucak odlican. Sve najbolje za ovaj smestaj!",Nije bilo nicega sto mi se nije dopalo.,10,"Osoblje ljubazno i usluzno, smestaj cist, dorucak odlican. Sve najbolje za ovaj smestaj! Nije bilo nicega sto mi se nije dopalo."
Izuzetna poslovnost.,,10,Izuzetna poslovnost. 
Hotel je predobar.  Sobe su čiste i prostrane. Doručak je bio savršen. Preporuka za sve koji nameravaju odsesti u Subotici da svrate u ovom Hotelu.,,10,Hotel je predobar.  Sobe su čiste i prostrane. Doručak je bio savršen. Preporuka za sve koji nameravaju odsesti u Subotici da svrate u ovom Hotelu. 
"Sve je bilo i više od očekivanog.Samo reči hvale za kompletnu uslugu u hotelu.Od ljubaznog osoblja,komforne sobe i udobnih kreveta i svega što podrazumeva od potrebnih stvari u sobi.Posteljina,dušeci,kuvalo za jafu i čaj,mini bar,TV,kupatilo sa čistim peškirima i fenom.Osoblje kao i konobari samo reči hvale.Mladi,ljubazni,profesionalni.Hrana lepo prezentovana,ukusna,obilata.Doručak fantastičan uz kafu i čaj.Lokacija odlična,obezbedjen parking.Za svaku preporuku.Rado ćemo se vratiti opet.Svaka čast👏",,10,"Sve je bilo i više od očekivanog.Samo reči hvale za kompletnu uslugu u hotelu.Od ljubaznog osoblja,komforne sobe i udobnih kreveta i svega što podrazumeva od potrebnih stvari u sobi.Posteljina,dušeci,kuvalo za jafu i čaj,mini bar,TV,kupatilo sa čistim peškirima i fenom.Osoblje kao i konobari samo reči hvale.Mladi,ljubazni,profesionalni.Hrana lepo prezentovana,ukusna,obilata.Doručak fantastičan uz kafu i čaj.Lokacija odlična,obezbedjen parking.Za svaku preporuku.Rado ćemo se vratiti opet.Svaka čast👏 "
Sve je super,,10,Sve je super 
"Dopalo nam se sve, počevši od lokacije, ljubaznog osoblja kao i čistoća same sobe. Sve pohvale!",,10,"Dopalo nam se sve, počevši od lokacije, ljubaznog osoblja kao i čistoća same sobe. Sve pohvale! "
"Sve je bilo mnogo cisto, dorucak odlican.",sve super.,10,"Sve je bilo mnogo cisto, dorucak odlican. sve super."
"Odlican dorucak, prijatno osoblje mladi nasmejani ljudi 😃",,10,"Odlican dorucak, prijatno osoblje mladi nasmejani ljudi 😃 "
"Higijena,lokacija","Suvise mala soba i kupatilo,skuceno",5,"Higijena,lokacija Suvise mala soba i kupatilo,skuceno"
,Male.sobe sa losim internetom  a i u restoranu na meniu ima a kad trazimo da porucmo nema.nista .,2, Male.sobe sa losim internetom  a i u restoranu na meniu ima a kad trazimo da porucmo nema.nista .
"Veoma cist apartman, prostran i blizu jezerceta i centra grada. Svaka pohvala za domacina, veoma brz dogovor",,10,"Veoma cist apartman, prostran i blizu jezerceta i centra grada. Svaka pohvala za domacina, veoma brz dogovor "
Veoma ljubazni domaćini. Apartman je jako prostran i veoma uredno sređen. Poseduje apsolutno sve što je potrebno. Sve preporuke.,,10,Veoma ljubazni domaćini. Apartman je jako prostran i veoma uredno sređen. Poseduje apsolutno sve što je potrebno. Sve preporuke. 
"Kada bi postojala ocena 11 Koki bi to dobio. Izuzetno razvijen komunikacioni sistem na relaciji gost-domaćin gde se pri rezervaciji dobijaju kompletne instrukcije o boravku u apartmanu. Jedinstveno, fenomenalno iskustvo. Nov objekat, sve savršeno čisto i skockano. Kao redovni korisnik bookinga zbog specifičnosti posla i čestih putovanja, mogao bih reći da je ovo jedan od najboljih objekata u Srbiji.",,10,"Kada bi postojala ocena 11 Koki bi to dobio. Izuzetno razvijen komunikacioni sistem na relaciji gost-domaćin gde se pri rezervaciji dobijaju kompletne instrukcije o boravku u apartmanu. Jedinstveno, fenomenalno iskustvo. Nov objekat, sve savršeno čisto i skockano. Kao redovni korisnik bookinga zbog specifičnosti posla i čestih putovanja, mogao bih reći da je ovo jedan od najboljih objekata u Srbiji. "
"Prijatni domacini, cisto, udobno..",,10,"Prijatni domacini, cisto, udobno.. "
Apartman je prostran cist sve novo i sve sto je potrebno ima blizu centra parking preporuka za odmor,Sve je bilo ok,10,Apartman je prostran cist sve novo i sve sto je potrebno ima blizu centra parking preporuka za odmor Sve je bilo ok
Ovakve apartmane nisam imao ni na ekskurziji u Pragu(Češka) u hotelu od 4 zvezdica.,,10,Ovakve apartmane nisam imao ni na ekskurziji u Pragu(Češka) u hotelu od 4 zvezdica. 
"Čist i udoban apartman, vlasnica ljubazna. Smeštaj se lako nalazi i ima mesta za parking",,10,"Čist i udoban apartman, vlasnica ljubazna. Smeštaj se lako nalazi i ima mesta za parking "
"Nov objekat, jako lep i komforan, izuzetno opremljen, ima sve sto je neophodno za prijatan boravak. 
Domaćini srdačni, ljubazni, profesionalni.

Sve preporuke!",,10,"Nov objekat, jako lep i komforan, izuzetno opremljen, ima sve sto je neophodno za prijatan boravak. 
Domaćini srdačni, ljubazni, profesionalni.

Sve preporuke! "
Sve nam se dopadlo i sve je super!,,10,Sve nam se dopadlo i sve je super! 
"Cisto je i uredno, veliki prostor po pristupacnoj ceni. Vlasnici su divni za saradnju.",,10,"Cisto je i uredno, veliki prostor po pristupacnoj ceni. Vlasnici su divni za saradnju. "
"Sama lokacija apartmana je idealna,nije bučno iako je samo par koraka udaljeno od centra ,vlasnici apartmana vrlo ljubazni i za sva pitanja stoje na raspolaganju i izlaze u susret 😊,što se čistoće tiče čista desetka 👍🏻,apatmani su novi i vrlo lepo i moderno opremljeni.Da su vlasnici na sve mislili je i postojanje električnog lončića (dzezve) za kuvanje kafe i kesica sa kafom tako da smo uzivali u jutarnjoj kafici na lepoj terasi 😊",Nema zamerke,10,"Sama lokacija apartmana je idealna,nije bučno iako je samo par koraka udaljeno od centra ,vlasnici apartmana vrlo ljubazni i za sva pitanja stoje na raspolaganju i izlaze u susret 😊,što se čistoće tiče čista desetka 👍🏻,apatmani su novi i vrlo lepo i moderno opremljeni.Da su vlasnici na sve mislili je i postojanje električnog lončića (dzezve) za kuvanje kafe i kesica sa kafom tako da smo uzivali u jutarnjoj kafici na lepoj terasi 😊 Nema zamerke"
Sve pohvale. 10+,,10,Sve pohvale. 10+ 
"Sve,apsolutno ljubazni.",,10,"Sve,apsolutno ljubazni. "
"Sve pohvale za ovaj nov apartman i za Vlasnike koji su odlični domaćini. Ljubazni i odgovorni mladi ljudi. Stan je prostran, čist, lepo uređen i opremljen svime što treba. Uzivo još lepšni nego na slikama. Nalazi se u mirnoj ulici,  uz centar grada. Sve pohvale i jedna topla preporuka.",,10,"Sve pohvale za ovaj nov apartman i za Vlasnike koji su odlični domaćini. Ljubazni i odgovorni mladi ljudi. Stan je prostran, čist, lepo uređen i opremljen svime što treba. Uzivo još lepšni nego na slikama. Nalazi se u mirnoj ulici,  uz centar grada. Sve pohvale i jedna topla preporuka. "
"Svaka pohvala objektu i domaćinima. Objekt je potpuno nov te zaista onakav kakav je na slikama. Sve je na izuzetno visokom nivou, od čistoće do gostoljubivosti domaćina. Vrhunski. Topla preporuka svima. Mi se svakako vraćamo opet :)",,10,"Svaka pohvala objektu i domaćinima. Objekt je potpuno nov te zaista onakav kakav je na slikama. Sve je na izuzetno visokom nivou, od čistoće do gostoljubivosti domaćina. Vrhunski. Topla preporuka svima. Mi se svakako vraćamo opet :) "
Sve je novo i to je svima jasno kod dolazi sa porodicom koliko to znaci.,Gosti u sobi pored bilo ih je vise pa su bili bucniji.,10,Sve je novo i to je svima jasno kod dolazi sa porodicom koliko to znaci. Gosti u sobi pored bilo ih je vise pa su bili bucniji.
Cisto lepo,Buka od komsija,10,Cisto lepo Buka od komsija
"Što se smeštaja i vlasnika tiče,sve na svom mestu.",Plac pored je auto otpad. Od 7 ujutru kreće lupanje,9,"Što se smeštaja i vlasnika tiče,sve na svom mestu. Plac pored je auto otpad. Od 7 ujutru kreće lupanje"
"Sjajan prostor, veoma lepo i cisto. Nalazi se na dobroj lokaciji i ima obezbedjen parking.",,8,"Sjajan prostor, veoma lepo i cisto. Nalazi se na dobroj lokaciji i ima obezbedjen parking. "
"Prvi utisak ,osoblje ljubazno na svakom koraku,trudeći se da pomognu u svakom pogledu.Vlasnik objekta domaćin velikog srca.
Vidimo se ponovo.
Hvala","Nismo imali vremena da sve sadržaje isprobamo ,ostati treba 5 dana. 😉hiiiii",10,"Prvi utisak ,osoblje ljubazno na svakom koraku,trudeći se da pomognu u svakom pogledu.Vlasnik objekta domaćin velikog srca.
Vidimo se ponovo.
Hvala Nismo imali vremena da sve sadržaje isprobamo ,ostati treba 5 dana. 😉hiiiii"
"Usluga je odlična, sobe su čiste, u okviru hotela postoji i restoran, bazen i teretana",,9,"Usluga je odlična, sobe su čiste, u okviru hotela postoji i restoran, bazen i teretana "
"Dorucak odlican, lokacija blizu centra","Iz hotela moze da se izadje ali ulazak samo na interfon, malo sam se glupo osecao, da odem do kola po nesto i sl.",8,"Dorucak odlican, lokacija blizu centra Iz hotela moze da se izadje ali ulazak samo na interfon, malo sam se glupo osecao, da odem do kola po nesto i sl."
"Mir i tisina, pravo mesto za odmor. Hrana je bila odlicna. Osoblje bih posebno pohvalila.",Fali samo kuvalo za kafu i papuce za jednokratnu upotrebu.,9,"Mir i tisina, pravo mesto za odmor. Hrana je bila odlicna. Osoblje bih posebno pohvalila. Fali samo kuvalo za kafu i papuce za jednokratnu upotrebu."
Ispred objekta imate veliki bazen sa kafe barom. Imate teretanu u kojoj vlasnik trenira(inače powerlifting šampion Rusije). Objekat poseduje i svoj restoran.,Često imaju neke prosalve u svom restoranu. U toku dana na bazen mogu da dođu i ljudi koji nisu gosti smestaja. Sobe imaju jako male televizore,8,Ispred objekta imate veliki bazen sa kafe barom. Imate teretanu u kojoj vlasnik trenira(inače powerlifting šampion Rusije). Objekat poseduje i svoj restoran. Često imaju neke prosalve u svom restoranu. U toku dana na bazen mogu da dođu i ljudi koji nisu gosti smestaja. Sobe imaju jako male televizore
Lepo dvorište,,8,Lepo dvorište 
"Hotel je malo dislociran od centra grada, parking raspoloziv, sobe uredne, kupatilo prostrano.","Zvucna izolacija malo losija, uticnice za struju dosta nebezbedno locirane",7,"Hotel je malo dislociran od centra grada, parking raspoloziv, sobe uredne, kupatilo prostrano. Zvucna izolacija malo losija, uticnice za struju dosta nebezbedno locirane"
,Nije radio bazen u unutrasnjem delu,7, Nije radio bazen u unutrasnjem delu
Osoblje i hihijena su na zavidnom nivou ( osim na bazenu ),,8,Osoblje i hihijena su na zavidnom nivou ( osim na bazenu ) 
"Usluga, cista soba, prijatno osoblje.",,8,"Usluga, cista soba, prijatno osoblje. "
Ljubaznost zaposlenih devojaka.,,10,Ljubaznost zaposlenih devojaka. 
Osoblje daje sve od sebe da gosti budu zadovoljni.,"Mini bar je naveden kao sadrzaj, u apartmanu je bio samo prazan frizider.",10,"Osoblje daje sve od sebe da gosti budu zadovoljni. Mini bar je naveden kao sadrzaj, u apartmanu je bio samo prazan frizider."
"Sve je i redu 
Najbolji u regionu♥️",,10,"Sve je i redu 
Najbolji u regionu♥️ "
Sve,Nema toga,10,Sve Nema toga
"Sve je fantasticno,cene pristupacne,sve preporuke",,10,"Sve je fantasticno,cene pristupacne,sve preporuke "
"Lokacija, usluga, smeštaj!",---,10,"Lokacija, usluga, smeštaj! ---"
Sve. Poslednjih 10 godina jedanput godisnje posetim Leskovac krajm avgusta. Do sada sam uvek boravio u razlicitim hotelima. Prvi put sam boravio u hotelu Bella Nella i definitivno je najbolji smestaj u Leskovcu. Vise necu traziti drugi smestaj. Iskrena preporuka svima.,,10,Sve. Poslednjih 10 godina jedanput godisnje posetim Leskovac krajm avgusta. Do sada sam uvek boravio u razlicitim hotelima. Prvi put sam boravio u hotelu Bella Nella i definitivno je najbolji smestaj u Leskovcu. Vise necu traziti drugi smestaj. Iskrena preporuka svima. 
Sve mi se dopalo,Sve je super nemam primedbi,10,Sve mi se dopalo Sve je super nemam primedbi
Hrana odlična,,10,Hrana odlična 
Gotovo nista.,"- WC solja je bila prljava i puna dlaka kada sam dosao. 
- Umesto bojlera, imaju neki grejac za vodu koji ne radi tako da tople vode i nema bas. 
- TV je minijaturan, gotovo da i ne moze da se vidi bilo sta na njemu sa kreveta. 
- Takodje, na sajtu pise da soba ima zvucnu izolaciju sto je apsolutno netacno - sve se cuje, od zveckanja kljuceva iz hodnika do ljudi koji se okupljaju u okolini hotela i deru se. Naravno, sve se cuje i izvan sobe. 
- Hotel se uvece zakljucava, a ljudi koji rade na recepciji nisu tu, vec morate da zovete broj i naravno da se neko nece javiti odmah ili doci istog trenutka, tako da smo se smrzavali 10 minuta ispred hotela nepotrebno (jer interfon ne radi). Ukoliko izadjete iz hotela i zaboravite telefon verovatno cete biti zarobljeni par sati ispred. 
- Cena je bar 3 puta veca nego sto soba stvarno vredi. Postoje mnogo bolje ponude u Leskovcu od ovog hotela, tako da, ako je moguce, najbolje je zaobici ovaj hotel potpuno.
- Soba je jako mala - cim udjete ispred vas je krevet sa jednim malim stolom na kom stoji jako mali monitor (TV).",3,"Gotovo nista. - WC solja je bila prljava i puna dlaka kada sam dosao. 
- Umesto bojlera, imaju neki grejac za vodu koji ne radi tako da tople vode i nema bas. 
- TV je minijaturan, gotovo da i ne moze da se vidi bilo sta na njemu sa kreveta. 
- Takodje, na sajtu pise da soba ima zvucnu izolaciju sto je apsolutno netacno - sve se cuje, od zveckanja kljuceva iz hodnika do ljudi koji se okupljaju u okolini hotela i deru se. Naravno, sve se cuje i izvan sobe. 
- Hotel se uvece zakljucava, a ljudi koji rade na recepciji nisu tu, vec morate da zovete broj i naravno da se neko nece javiti odmah ili doci istog trenutka, tako da smo se smrzavali 10 minuta ispred hotela nepotrebno (jer interfon ne radi). Ukoliko izadjete iz hotela i zaboravite telefon verovatno cete biti zarobljeni par sati ispred. 
- Cena je bar 3 puta veca nego sto soba stvarno vredi. Postoje mnogo bolje ponude u Leskovcu od ovog hotela, tako da, ako je moguce, najbolje je zaobici ovaj hotel potpuno.
- Soba je jako mala - cim udjete ispred vas je krevet sa jednim malim stolom na kom stoji jako mali monitor (TV)."
restoran doručak osoblje,"neprijatni mirisi u sobi sa djakuzijem, djakuzi je mali i ne radi, bazen zatvoren, sauna zatvorena, nije hotel sa 4 zvezdice.",5,"restoran doručak osoblje neprijatni mirisi u sobi sa djakuzijem, djakuzi je mali i ne radi, bazen zatvoren, sauna zatvorena, nije hotel sa 4 zvezdice."
"Dorucak dugo cekala,","smece ispod prozora, *kontejneri koji  neprijatno mirisu,  prljavi prozori, otkacene zavese,prasina,",4,"Dorucak dugo cekala, smece ispod prozora, *kontejneri koji  neprijatno mirisu,  prljavi prozori, otkacene zavese,prasina,"
Skoro nista,Mnogo toga ( odlucite se hotel ili bucna diskoteka ),1,Skoro nista Mnogo toga ( odlucite se hotel ili bucna diskoteka )
Dve devojke sa recepcije i bara bile su jako ljubazne,"Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok",3,"Dve devojke sa recepcije i bara bile su jako ljubazne Buka soba je bila iznad velike klime spoljni deo klime  koji je bio bucan celu noc a i put je blizu tako da su celu noc prolazila vozila , krevet neudoban, dorucak je bio ok"
,Soba je bila prasnjava,5, Soba je bila prasnjava
"Базен, хотел, соба (комплекс)","Локација мало лошија, полупрофесионално особље, доручак може много боље.",7,"Базен, хотел, соба (комплекс) Локација мало лошија, полупрофесионално особље, доручак може много боље."
"Odličan apartman, udoban i što je najvažnije čist. Lokacija jako dobra, blizu Šumarica, Velikog parka, a ni centar nije daleko. Sve preporuke.",,10,"Odličan apartman, udoban i što je najvažnije čist. Lokacija jako dobra, blizu Šumarica, Velikog parka, a ni centar nije daleko. Sve preporuke. "
"Odlična lokacija, odličan domaćin!",Nemam primedbi!,10,"Odlična lokacija, odličan domaćin! Nemam primedbi!"
"Sve je super,nemam reci. Preporuka. Stan je u strogom centru",,10,"Sve je super,nemam reci. Preporuka. Stan je u strogom centru "
Greju dobro.,-,10,Greju dobro. -
"Blizina centra, obezbeđen parking, domaćin vrlo ljubazan i nenametljiv. Za svaku pohvalu👍",,10,"Blizina centra, obezbeđen parking, domaćin vrlo ljubazan i nenametljiv. Za svaku pohvalu👍 "
Apartman za svaku pohvalu. Sve je bilo perfektno.,,10,Apartman za svaku pohvalu. Sve je bilo perfektno. 
Апартман је веома чист. Смештај је испунио висока очекивања.,,10,Апартман је веома чист. Смештај је испунио висока очекивања. 
Sve je bilo kao u opisu.,,10,Sve je bilo kao u opisu. 
"Kao i uvek odličan apartman, topla preporuka.",,10,"Kao i uvek odličan apartman, topla preporuka. "
"Lep apartman, jako ukusno i lepo opremljen. Uživali smo u samom boravku. Imao je sve što vam je potrebno za par dana boravka u apartmanu. Domaćin je ljubazan i brzo smo se organizovali i dogovorili oko ključa i parkinga.","Nismo imali tople vode nakon jednog tuširanja. Vrata kupatila nisu mogla da se zatvore, pa može biti malo neprijatno.",9,"Lep apartman, jako ukusno i lepo opremljen. Uživali smo u samom boravku. Imao je sve što vam je potrebno za par dana boravka u apartmanu. Domaćin je ljubazan i brzo smo se organizovali i dogovorili oko ključa i parkinga. Nismo imali tople vode nakon jednog tuširanja. Vrata kupatila nisu mogla da se zatvore, pa može biti malo neprijatno."
Izuzetno čist i moderno uređen apartman. Vlasnik ljubazan i srdačan. Svakako mjesto gdje cu se vrlo rado opet vratiti 😊,,10,Izuzetno čist i moderno uređen apartman. Vlasnik ljubazan i srdačan. Svakako mjesto gdje cu se vrlo rado opet vratiti 😊 
"lokacija mi je odgovarala i čistoća je OK , apartman sadrži sve što je potrebno za kraći boravak.","Nema lifta, ali ništa strašno.",10,"lokacija mi je odgovarala i čistoća je OK , apartman sadrži sve što je potrebno za kraći boravak. Nema lifta, ali ništa strašno."
"Nov jednosoban apartman,lepo sređen. U sobi je udoban bračni krevet, a u dnevnoj ugaona za jednu odraslu osobu. Nema roletna u apartmanu pa je prilicno svetlo u dnevnoj sobi.",Dugo smo čekali da se pojavi gazda sa ključevima.,9,"Nov jednosoban apartman,lepo sređen. U sobi je udoban bračni krevet, a u dnevnoj ugaona za jednu odraslu osobu. Nema roletna u apartmanu pa je prilicno svetlo u dnevnoj sobi. Dugo smo čekali da se pojavi gazda sa ključevima."
"Lepo, čisto i uredno. Ljubazan vlasnik.",,10,"Lepo, čisto i uredno. Ljubazan vlasnik. "
Odlično. Sve je bilo lepo.,,10,Odlično. Sve je bilo lepo. 
"Vrlo lep i komforan smeštaj. U kuhinji se nalazi kafa, čaj, šećer, kao i sve što je neophodno za spremanje hrane. Frižider prostran, čist, tih.","Jedina manja zamerka je što nema roletni, pa je zavesa jedini način za delimično zamračivanje prostorije. Ipak, ovo je subjektivno.",9,"Vrlo lep i komforan smeštaj. U kuhinji se nalazi kafa, čaj, šećer, kao i sve što je neophodno za spremanje hrane. Frižider prostran, čist, tih. Jedina manja zamerka je što nema roletni, pa je zavesa jedini način za delimično zamračivanje prostorije. Ipak, ovo je subjektivno."
"Sve je bilo extra!
Svaka čast domaćinu.",,10,"Sve je bilo extra!
Svaka čast domaćinu. "
"Objekat ima sve, a i cisto je. Svaka cast, sve pohvale. Osoblje ljubazno. Top",,10,"Objekat ima sve, a i cisto je. Svaka cast, sve pohvale. Osoblje ljubazno. Top "
"Udoban, komforan i dobro opremljen. Dobra i laka komunikacija sa domacinom.",,9,"Udoban, komforan i dobro opremljen. Dobra i laka komunikacija sa domacinom. "
"Sve je bilo kako treba. 
Sve preporuke.",,10,"Sve je bilo kako treba. 
Sve preporuke. "
"Jako lep apartman, uredno, čisto, potpuno opremljeno, imate sve što vam je potrebno, a i više! :) Komunikacija sa gazdom je super!
Lokacija apartmana je fantastična, u blizini je mnoštvo univerziteta, a takođe vam je dostupno puno pekara, prodavnica, trafika, kafića i restorana, kao i Veliki park. 
Prezadovoljna sam i prvom prilikom ću ponovo biti u Duga apartmanima! Sve pohvale!!!!!",,10,"Jako lep apartman, uredno, čisto, potpuno opremljeno, imate sve što vam je potrebno, a i više! :) Komunikacija sa gazdom je super!
Lokacija apartmana je fantastična, u blizini je mnoštvo univerziteta, a takođe vam je dostupno puno pekara, prodavnica, trafika, kafića i restorana, kao i Veliki park. 
Prezadovoljna sam i prvom prilikom ću ponovo biti u Duga apartmanima! Sve pohvale!!!!! "
Sve preporuke za ovaj smestaj,,10,Sve preporuke za ovaj smestaj 
"Usluga, cistoca, cijena- kvalitet ponude je 10+. Rado preporucujem svima ponudu ""Duga"".",Nista,10,"Usluga, cistoca, cijena- kvalitet ponude je 10+. Rado preporucujem svima ponudu ""Duga"". Nista"
"Stan u krugu centra, parking, bazen i park u blizini.",/,10,"Stan u krugu centra, parking, bazen i park u blizini. /"
,"Kratko ali prezadovoljan od domacina i prijatne konverzacije do samog stana koji je i bolji nego na slikama!!!! Lokacija itd isto odlicna!!!!
Preporuka za sve i opet cu odsesti ovde!!!!",10," Kratko ali prezadovoljan od domacina i prijatne konverzacije do samog stana koji je i bolji nego na slikama!!!! Lokacija itd isto odlicna!!!!
Preporuka za sve i opet cu odsesti ovde!!!!"
"Prednosti su besplatan parking, cisto, udobno, terasa sa pogledom na ulicu, pegla i daska za peglanje, fen. Soba je velika i prostrana. Kraj je tih i miran, na 10 minuta pesaka od centra grada. U okolini ima i prodavnica, pekara, kafica.","Nije bilo kante za smece i takodje nikakve kafe recimo, a tu je aparat za kafu",8,"Prednosti su besplatan parking, cisto, udobno, terasa sa pogledom na ulicu, pegla i daska za peglanje, fen. Soba je velika i prostrana. Kraj je tih i miran, na 10 minuta pesaka od centra grada. U okolini ima i prodavnica, pekara, kafica. Nije bilo kante za smece i takodje nikakve kafe recimo, a tu je aparat za kafu"
